section,metric,component,value,unit
area,fu_area,FU_total,39680.0,um2
area,rf_area,RF_total,6553.6,um2
area,noc_area,NoC_total,20160.0,um2
area,total_area,all,66393.6,um2
area,total_area,all,0.066394,mm2
activity,num_cycles,all,100,cycles
activity,mean_alpha_fu,all,1.0,dimensionless
activity,mean_alpha_switch,all,0.061869,dimensionless
activity,alpha_fu,"(0, 0)",1.0,dimensionless
activity,alpha_fu,"(0, 1)",1.0,dimensionless
activity,alpha_fu,"(0, 2)",1.0,dimensionless
activity,alpha_fu,"(0, 3)",1.0,dimensionless
activity,alpha_fu,"(1, 0)",1.0,dimensionless
activity,alpha_fu,"(1, 1)",1.0,dimensionless
activity,alpha_fu,"(1, 2)",1.0,dimensionless
activity,alpha_fu,"(1, 3)",1.0,dimensionless
activity,alpha_fu,"(2, 0)",1.0,dimensionless
activity,alpha_fu,"(2, 1)",1.0,dimensionless
activity,alpha_fu,"(2, 2)",1.0,dimensionless
activity,alpha_fu,"(2, 3)",1.0,dimensionless
activity,alpha_fu,"(3, 0)",1.0,dimensionless
activity,alpha_fu,"(3, 1)",1.0,dimensionless
activity,alpha_fu,"(3, 2)",1.0,dimensionless
activity,alpha_fu,"(3, 3)",1.0,dimensionless
activity,alpha_switch,"(0, 0)",0.06186868686868687,dimensionless
activity,alpha_switch,"(0, 1)",0.06186868686868687,dimensionless
activity,alpha_switch,"(0, 2)",0.06186868686868687,dimensionless
activity,alpha_switch,"(0, 3)",0.06186868686868687,dimensionless
activity,alpha_switch,"(1, 0)",0.06186868686868687,dimensionless
activity,alpha_switch,"(1, 1)",0.06186868686868687,dimensionless
activity,alpha_switch,"(1, 2)",0.06186868686868687,dimensionless
activity,alpha_switch,"(1, 3)",0.06186868686868687,dimensionless
activity,alpha_switch,"(2, 0)",0.06186868686868687,dimensionless
activity,alpha_switch,"(2, 1)",0.06186868686868687,dimensionless
activity,alpha_switch,"(2, 2)",0.06186868686868687,dimensionless
activity,alpha_switch,"(2, 3)",0.06186868686868687,dimensionless
activity,alpha_switch,"(3, 0)",0.06186868686868687,dimensionless
activity,alpha_switch,"(3, 1)",0.06186868686868687,dimensionless
activity,alpha_switch,"(3, 2)",0.06186868686868687,dimensionless
activity,alpha_switch,"(3, 3)",0.06186868686868687,dimensionless
power,dynamic,total,25.458,uW
power,dynamic,total,0.025458,mW
power,static,total,358.4,uW
power,static,total,0.3584,mW
power,total,all,383.858,uW
power,total,all,0.383858,mW
metadata,node,technology,28,nm
metadata,vdd,technology,0.9,V
metadata,freq,technology,500.0,MHz
metadata,elapsed,estimation,0.45,ms
metadata,disclaimer,all,Pre-RTL estimate — error < 15% vs. synthesis (SYRS-PER-003),
